,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
1,Seong Ho,A18,lying,0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,1]","[0,1,1,0]",일 그만하고 쉬고싶은 여자 느낌이 정적임.,0,  일 안하고 늘어지고 싶은 느낌 표현 원함.,1,nan,2,  일은 해야 하는데 쉬는 느낌이라 많이 Sparse 는 아니었으면 함.,농땡이치는 느낌.
2,5e67524094c67a000a04ca8e,A18,lying,2,"[0,0,0,0]","[0,0,0,0]","[0,0,1,1]","[0,0,1,1]",I see still and calm,3,nan,4,nan,3,nan,nan
3,6400dc9af341e8a575a457f6,A18,lying,4,"[0,0,0,1]","[1,1,1,1]","[0,0,1,1]","[0,1,1,0]",both the buildings in the background and the person laying in the grass stand out equally,1,nan,3,nan,3,nan,nan
4,5e4875f3110b3730eefa32a1,A18,lying,0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,0,0,0]",not dynamic in my opinion,2,nan,2,nan,2,nan,nan
5,5e909d9ac9ce2503b2650797,A18,lying,0,"[1,0,0,0]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]","it's not dynamic, it looks like the person has died in the field",0,nan,0,nan,8,nan,nan
6,5fc00a11268eb941e7d8b066,A18,lying,6,"[0,0,0,0]","[0,0,0,0]","[0,0,0,1]","[0,0,0,0]",The red hat stands out against the green grassy background.,2,nan,6,nan,3,nan,nan
7,5b295f60bbd4880001117976,A18,lying,1,"[0,0,1,0]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]",There is no real dynamics in this picture. Both the scenery and person are devoid of movement.,1,nan,1,nan,2,nan,nan
8,630100561dc47fd83f5b4745,A18,lying,3,"[0,0,0,0]","[0,0,0,1]","[0,1,1,1]","[0,1,1,1]","Person appears to have fallen over, although could just be sleeping. Although the fact that she may have fallen over makes the picture more dynamic for me. ",5,nan,5,nan,5,nan,nan
9,5f7959d0b6791155e6932dd1,A18,lying,2,"[0,0,0,0]","[0,0,0,0]","[0,0,1,1]","[0,1,1,0]",There is a hopelessness in the position of the figure which brings the dynamism.,1,  The music should be very slow to show the feeling of furlong in the figure.,2,  Low and grounded like where the figure is lying upon.,7,"  The music should be dense like the feeling of the figure as she looks like her emotions are so dense, she simply has to lie down.",The music should be drab and ploddy like the feelings should in the picture.
10,5967e9a831394d0001abdb3f,A18,lying,0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","The figure is asleep and shows no movement, so no dynamism",1,  To accompany sleep,3,nan,1,nan,nan
11,657421f9661ce9a8cd7482d1,A18,lying,9,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]", a very unique sense of dynamic,5,  Moderate tempo music is good for the art work ,5,  Moderate pitch music is good for the art work ,5,  Moderate tempo music is good for the art work ,nan
12,5e56590389b924000c184113,A18,lying,1,"[0,0,0,0]","[0,0,0,0]","[0,0,1,1]","[0,0,1,1]",The sleeping figure adds narrative and emotion into the calm landscape.,2,nan,5,nan,4,nan,nan
13,65c4bfbc22bc351322c66e32,A18,lying,6,"[1,0,1,0]","[0,0,0,0]","[0,1,1,0]","[1,0,0,0]",Very outstanding,2,nan,2,nan,4,nan,nan
14,63f77942d3cad20e65a411a9,A18,lying,1,"[0,0,0,1]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]",the smoke rising from the chimney,1,nan,3,nan,1,nan,nan
15,5c584d2040378900013b6fb9,A18,lying,2,"[0,0,0,0]","[0,0,0,0]","[0,0,1,1]","[0,1,1,1]",a calm energy is shown in this sleeping lady in a calm farmland,1,nan,1,nan,1,nan,nan
16,613e454dca2db9fcef1f8e8d,A18,lying,0,"[0,0,0,1]","[0,0,0,0]","[0,0,1,1]","[0,1,1,0]","The figure is lying down so there is a lack of movment, The trees are still, indicating no wind.",2,"  The music should represent rest, sleep, fatigue, relaxation on a warm day.",4,nan,5,nan,nan
